 t	 x	 y	 z
0.0000 -0.0000 0.0000 0.0000
0.0100 0.0043 0.0011 0.0010
0.0200 0.0144 0.0038 0.0036
0.0300 0.0287 0.0077 0.0073
0.0400 0.0463 0.0126 0.0121
0.0500 0.0666 0.0185 0.0178
0.0600 0.0890 0.0252 0.0242
0.0700 0.1131 0.0327 0.0314
0.0800 0.1386 0.0409 0.0393
0.0900 0.1650 0.0496 0.0477
0.1000 0.1921 0.0590 0.0567
0.1100 0.2197 0.0688 0.0662
0.1200 0.2474 0.0791 0.0762
0.1300 0.2751 0.0899 0.0865
0.1400 0.3025 0.1010 0.0973
0.1500 0.3295 0.1124 0.1084
0.1600 0.3559 0.1242 0.1199
0.1700 0.3816 0.1363 0.1316
0.1800 0.4065 0.1486 0.1436
0.1900 0.4304 0.1612 0.1558
0.2000 0.4533 0.1739 0.1682
0.2100 0.4751 0.1868 0.1808
0.2200 0.4957 0.1999 0.1936
0.2300 0.5152 0.2130 0.2065
0.2400 0.5334 0.2263 0.2195
0.2500 0.5504 0.2396 0.2326
0.2600 0.5662 0.2530 0.2458
0.2700 0.5808 0.2665 0.2590
0.2800 0.5942 0.2799 0.2723
0.2900 0.6064 0.2934 0.2856
0.3000 0.6176 0.3068 0.2989
0.3100 0.6276 0.3202 0.3121
0.3200 0.6367 0.3335 0.3254
0.3300 0.6447 0.3468 0.3386
0.3400 0.6519 0.3600 0.3517
0.3500 0.6582 0.3731 0.3647
0.3600 0.6638 0.3860 0.3777
0.3700 0.6686 0.3989 0.3905
0.3800 0.6728 0.4116 0.4032
0.3900 0.6764 0.4241 0.4158
0.4000 0.6795 0.4365 0.4283
0.4100 0.6821 0.4487 0.4405
0.4200 0.6842 0.4607 0.4526
0.4300 0.6861 0.4725 0.4645
0.4400 0.6876 0.4841 0.4762
0.4500 0.6888 0.4955 0.4877
0.4600 0.6898 0.5067 0.4990
0.4700 0.6906 0.5176 0.5100
0.4800 0.6912 0.5282 0.5208
0.4900 0.6917 0.5386 0.5314
0.5000 0.6921 0.5487 0.5416
0.5100 0.6924 0.5586 0.5516
0.5200 0.6926 0.5682 0.5613
0.5300 0.6928 0.5774 0.5708
0.5400 0.6929 0.5864 0.5799
0.5500 0.6930 0.5950 0.5887
0.5600 0.6930 0.6034 0.5972
0.5700 0.6931 0.6114 0.6054
0.5800 0.6931 0.6190 0.6132
0.5900 0.6931 0.6263 0.6207
0.6000 0.6931 0.6333 0.6279
0.6100 0.6931 0.6399 0.6347
0.6200 0.6931 0.6462 0.6411
0.6300 0.6931 0.6521 0.6472
0.6400 0.6931 0.6576 0.6530
0.6500 0.6931 0.6627 0.6583
0.6600 0.6931 0.6675 0.6633
0.6700 0.6931 0.6718 0.6679
0.6800 0.6931 0.6758 0.6722
0.6900 0.6931 0.6793 0.6760
0.7000 0.6931 0.6825 0.6795
0.7100 0.6930 0.6853 0.6825
0.7200 0.6930 0.6876 0.6852
0.7300 0.6930 0.6895 0.6875
0.7400 0.6930 0.6911 0.6894
0.7500 0.6930 0.6922 0.6909
0.7600 0.6930 0.6928 0.6920
0.7700 0.6930 0.6931 0.6928
0.7800 0.6930 0.6930 0.6931
0.7900 0.6930 0.6924 0.6930
0.8000 0.6930 0.6914 0.6926
0.8100 0.6930 0.6900 0.6917
0.8200 0.6930 0.6882 0.6904
0.8300 0.6930 0.6859 0.6888
0.8400 0.6930 0.6833 0.6868
0.8500 0.6929 0.6803 0.6844
0.8600 0.6929 0.6768 0.6815
0.8700 0.6929 0.6730 0.6784
0.8800 0.6929 0.6687 0.6748
0.8900 0.6929 0.6641 0.6709
0.9000 0.6929 0.6591 0.6666
0.9100 0.6929 0.6537 0.6619
0.9200 0.6929 0.6479 0.6568
0.9300 0.6928 0.6418 0.6514
0.9400 0.6928 0.6353 0.6457
0.9500 0.6928 0.6285 0.6396
0.9600 0.6927 0.6213 0.6332
0.9700 0.6927 0.6138 0.6264
0.9800 0.6926 0.6060 0.6193
0.9900 0.6926 0.5979 0.6119
1.0000 0.6925 0.5895 0.6041
1.0100 0.6924 0.5808 0.5961
1.0200 0.6923 0.5718 0.5878
1.0300 0.6921 0.5626 0.5791
1.0400 0.6919 0.5531 0.5702
1.0500 0.6917 0.5434 0.5611
1.0600 0.6914 0.5334 0.5516
1.0700 0.6910 0.5232 0.5419
1.0800 0.6906 0.5128 0.5320
1.0900 0.6901 0.5022 0.5219
1.1000 0.6894 0.4915 0.5115
1.1100 0.6886 0.4805 0.5010
1.1200 0.6877 0.4694 0.4902
1.1300 0.6866 0.4582 0.4793
1.1400 0.6853 0.4469 0.4682
1.1500 0.6838 0.4354 0.4570
1.1600 0.6820 0.4239 0.4456
1.1700 0.6800 0.4123 0.4341
1.1800 0.6776 0.4006 0.4225
1.1900 0.6749 0.3889 0.4107
1.2000 0.6717 0.3771 0.3990
1.2100 0.6682 0.3653 0.3871
1.2200 0.6642 0.3535 0.3752
1.2300 0.6598 0.3418 0.3633
1.2400 0.6548 0.3300 0.3513
1.2500 0.6493 0.3183 0.3394
1.2600 0.6432 0.3067 0.3275
1.2700 0.6366 0.2952 0.3156
1.2800 0.6294 0.2838 0.3038
1.2900 0.6216 0.2725 0.2920
1.3000 0.6131 0.2614 0.2804
1.3100 0.6041 0.2504 0.2689
1.3200 0.5945 0.2396 0.2575
1.3300 0.5843 0.2291 0.2463
1.3400 0.5736 0.2187 0.2353
1.3500 0.5624 0.2087 0.2245
1.3600 0.5508 0.1989 0.2139
1.3700 0.5388 0.1895 0.2037
1.3800 0.5264 0.1804 0.1937
1.3900 0.5138 0.1717 0.1840
1.4000 0.5011 0.1634 0.1747
1.4100 0.4883 0.1555 0.1658
1.4200 0.4755 0.1481 0.1574
1.4300 0.4629 0.1412 0.1494
1.4400 0.4505 0.1349 0.1418
1.4500 0.4386 0.1291 0.1348
1.4600 0.4271 0.1239 0.1284
1.4700 0.4163 0.1194 0.1225
1.4800 0.4062 0.1155 0.1173
1.4900 0.3970 0.1123 0.1128
1.5000 0.3888 0.1099 0.1089
1.5100 0.3817 0.1082 0.1058
1.5200 0.3757 0.1073 0.1034
1.5300 0.3710 0.1071 0.1018
1.5400 0.3675 0.1077 0.1010
1.5500 0.3654 0.1091 0.1009
1.5600 0.3647 0.1113 0.1016
1.5700 0.3652 0.1142 0.1032
1.5800 0.3671 0.1179 0.1054
1.5900 0.3703 0.1223 0.1085
1.6000 0.3746 0.1273 0.1122
1.6100 0.3801 0.1331 0.1167
1.6200 0.3867 0.1394 0.1218
1.6300 0.3941 0.1464 0.1276
1.6400 0.4024 0.1539 0.1340
1.6500 0.4114 0.1620 0.1409
1.6600 0.4210 0.1705 0.1484
1.6700 0.4310 0.1796 0.1564
1.6800 0.4414 0.1890 0.1648
1.6900 0.4520 0.1989 0.1737
1.7000 0.4628 0.2091 0.1830
1.7100 0.4737 0.2197 0.1926
1.7200 0.4845 0.2305 0.2026
1.7300 0.4952 0.2416 0.2128
1.7400 0.5056 0.2530 0.2234
1.7500 0.5158 0.2646 0.2342
1.7600 0.5257 0.2764 0.2452
1.7700 0.5353 0.2883 0.2564
1.7800 0.5444 0.3004 0.2677
1.7900 0.5531 0.3125 0.2793
1.8000 0.5614 0.3248 0.2909
1.8100 0.5691 0.3371 0.3026
1.8200 0.5764 0.3495 0.3145
1.8300 0.5832 0.3618 0.3263
1.8400 0.5896 0.3742 0.3383
1.8500 0.5954 0.3865 0.3502
1.8600 0.6008 0.3988 0.3622
1.8700 0.6057 0.4110 0.3741
1.8800 0.6102 0.4231 0.3860
1.8900 0.6143 0.4351 0.3979
1.9000 0.6179 0.4470 0.4097
1.9100 0.6212 0.4587 0.4214
1.9200 0.6241 0.4703 0.4330
1.9300 0.6266 0.4817 0.4445
1.9400 0.6288 0.4929 0.4559
1.9500 0.6307 0.5039 0.4672
1.9600 0.6323 0.5147 0.4783
1.9700 0.6336 0.5253 0.4892
1.9800 0.6346 0.5356 0.4999
1.9900 0.6354 0.5457 0.5105
2.0000 0.6360 0.5555 0.5209
2.0100 0.6363 0.5650 0.5310
2.0200 0.6365 0.5743 0.5410
2.0300 0.6364 0.5832 0.5507
2.0400 0.6362 0.5919 0.5601
2.0500 0.6359 0.6002 0.5693
2.0600 0.6353 0.6082 0.5782
2.0700 0.6347 0.6159 0.5869
2.0800 0.6339 0.6233 0.5952
2.0900 0.6330 0.6303 0.6033
2.1000 0.6320 0.6369 0.6111
2.1100 0.6309 0.6433 0.6185
2.1200 0.6297 0.6492 0.6257
2.1300 0.6285 0.6548 0.6325
2.1400 0.6272 0.6600 0.6389
2.1500 0.6258 0.6649 0.6451
2.1600 0.6244 0.6694 0.6509
2.1700 0.6230 0.6735 0.6563
2.1800 0.6216 0.6772 0.6614
2.1900 0.6202 0.6805 0.6661
2.2000 0.6187 0.6835 0.6704
2.2100 0.6173 0.6860 0.6744
2.2200 0.6158 0.6882 0.6780
2.2300 0.6144 0.6900 0.6812
2.2400 0.6130 0.6913 0.6841
2.2500 0.6116 0.6923 0.6865
2.2600 0.6102 0.6929 0.6886
2.2700 0.6089 0.6931 0.6902
2.2800 0.6076 0.6928 0.6915
2.2900 0.6063 0.6922 0.6924
2.3000 0.6050 0.6912 0.6929
2.3100 0.6038 0.6897 0.6930
2.3200 0.6026 0.6879 0.6927
2.3300 0.6015 0.6857 0.6921
2.3400 0.6004 0.6831 0.6910
2.3500 0.5993 0.6800 0.6895
2.3600 0.5983 0.6766 0.6876
2.3700 0.5974 0.6728 0.6854
2.3800 0.5965 0.6686 0.6827
2.3900 0.5956 0.6639 0.6797
2.4000 0.5949 0.6589 0.6763
2.4100 0.5942 0.6536 0.6725
2.4200 0.5937 0.6478 0.6683
2.4300 0.5932 0.6416 0.6637
2.4400 0.5929 0.6351 0.6587
2.4500 0.5928 0.6282 0.6534
2.4600 0.5928 0.6210 0.6477
2.4700 0.5929 0.6134 0.6417
2.4800 0.5933 0.6054 0.6352
2.4900 0.5939 0.5971 0.6285
2.5000 0.5947 0.5884 0.6213
2.5100 0.5958 0.5794 0.6139
2.5200 0.5972 0.5701 0.6061
2.5300 0.5988 0.5604 0.5979
2.5400 0.6008 0.5505 0.5895
2.5500 0.6031 0.5402 0.5807
2.5600 0.6057 0.5297 0.5716
2.5700 0.6086 0.5188 0.5622
2.5800 0.6118 0.5078 0.5525
2.5900 0.6154 0.4964 0.5426
2.6000 0.6193 0.4848 0.5323
2.6100 0.6235 0.4730 0.5218
2.6200 0.6280 0.4609 0.5110
2.6300 0.6327 0.4487 0.5000
2.6400 0.6376 0.4362 0.4888
2.6500 0.6427 0.4236 0.4773
2.6600 0.6479 0.4108 0.4656
2.6700 0.6531 0.3979 0.4537
2.6800 0.6584 0.3848 0.4416
2.6900 0.6635 0.3716 0.4294
2.7000 0.6685 0.3583 0.4170
2.7100 0.6732 0.3450 0.4044
2.7200 0.6776 0.3316 0.3917
2.7300 0.6816 0.3181 0.3789
2.7400 0.6851 0.3046 0.3659
2.7500 0.6881 0.2911 0.3529
2.7600 0.6903 0.2777 0.3398
2.7700 0.6918 0.2642 0.3266
2.7800 0.6924 0.2509 0.3133
2.7900 0.6921 0.2376 0.3001
2.8000 0.6908 0.2244 0.2868
2.8100 0.6885 0.2113 0.2735
2.8200 0.6850 0.1984 0.2602
2.8300 0.6804 0.1857 0.2470
2.8400 0.6746 0.1731 0.2338
2.8500 0.6675 0.1608 0.2207
2.8600 0.6593 0.1487 0.2077
2.8700 0.6498 0.1370 0.1948
2.8800 0.6391 0.1255 0.1821
2.8900 0.6272 0.1144 0.1695
2.9000 0.6141 0.1036 0.1571
2.9100 0.6000 0.0933 0.1448
2.9200 0.5849 0.0834 0.1328
2.9300 0.5689 0.0740 0.1211
2.9400 0.5521 0.0651 0.1097
2.9500 0.5347 0.0568 0.0985
2.9600 0.5167 0.0491 0.0878
