 i	 j	 H	 L
2.0000 12.0000 0.0000 0.0000
3.0000 12.0000 0.0000 0.0000
4.0000 12.0000 0.0000 0.0000
5.0000 12.0000 0.0000 0.0000
6.0000 12.0000 0.0000 0.0000
7.0000 12.0000 0.0000 0.0000
8.0000 12.0000 0.0000 0.0000
9.0000 12.0000 0.0000 0.0000
10.0000 12.0000 0.2449 0.0000
11.0000 12.0000 0.0000 0.0000
12.0000 12.0000 0.1000 0.0000
13.0000 12.0000 0.0000 0.0000
14.0000 12.0000 0.0000 0.0000
15.0000 12.0000 0.0000 0.0000
16.0000 12.0000 4.0000 0.0000
17.0000 12.0000 0.0000 0.0000
0.0000 13.0000 0.0000 0.0000
1.0000 13.0000 0.0000 0.0000
2.0000 13.0000 0.0000 0.0000
3.0000 13.0000 0.0000 0.0000
4.0000 13.0000 0.0000 0.0000
5.0000 13.0000 0.0000 0.0000
6.0000 13.0000 0.0000 0.0000
7.0000 13.0000 0.0000 0.0000
8.0000 13.0000 0.0000 0.0000
9.0000 13.0000 4.0000 0.0000
10.0000 13.0000 0.0000 0.0000
11.0000 13.0000 0.0000 0.0000
12.0000 13.0000 0.0000 0.0000
13.0000 13.0000 -4.1000 0.0000
14.0000 13.0000 0.0000 2.0000
15.0000 13.0000 0.2449 0.0000
16.0000 13.0000 0.0000 0.0000
17.0000 13.0000 0.0000 0.0000
0.0000 14.0000 0.0000 0.0000
1.0000 14.0000 0.0000 0.0000
2.0000 14.0000 0.0000 0.0000
3.0000 14.0000 0.0000 0.0000
4.0000 14.0000 0.0000 0.0000
5.0000 14.0000 0.0000 0.0000
6.0000 14.0000 0.0000 0.0000
7.0000 14.0000 0.0000 0.0000
8.0000 14.0000 0.0000 0.0000
9.0000 14.0000 0.0000 0.0000
10.0000 14.0000 4.8990 0.0000
11.0000 14.0000 0.0000 0.0000
12.0000 14.0000 0.0000 0.0000
13.0000 14.0000 0.0000 0.0000
14.0000 14.0000 -2.8000 0.0000
15.0000 14.0000 0.0000 2.4495
16.0000 14.0000 0.3000 0.0000
17.0000 14.0000 0.0000 0.0000
0.0000 15.0000 0.0000 0.0000
1.0000 15.0000 0.0000 0.0000
2.0000 15.0000 0.0000 0.0000
3.0000 15.0000 0.0000 0.0000
4.0000 15.0000 0.0000 0.0000
5.0000 15.0000 0.0000 0.0000
6.0000 15.0000 0.0000 0.0000
7.0000 15.0000 0.0000 0.0000
8.0000 15.0000 0.0000 0.0000
9.0000 15.0000 0.0000 0.0000
10.0000 15.0000 0.0000 0.0000
11.0000 15.0000 4.8990 0.0000
12.0000 15.0000 0.0000 0.0000
13.0000 15.0000 0.2449 0.0000
14.0000 15.0000 0.0000 0.0000
15.0000 15.0000 -1.7000 0.0000
16.0000 15.0000 0.0000 2.4495
17.0000 15.0000 0.2449 0.0000
0.0000 16.0000 0.0000 0.0000
1.0000 16.0000 0.0000 0.0000
2.0000 16.0000 0.0000 0.0000
3.0000 16.0000 0.0000 0.0000
4.0000 16.0000 0.0000 0.0000
5.0000 16.0000 0.0000 0.0000
6.0000 16.0000 0.0000 0.0000
7.0000 16.0000 0.0000 0.0000
8.0000 16.0000 0.0000 0.0000
9.0000 16.0000 0.0000 0.0000
10.0000 16.0000 0.0000 0.0000
11.0000 16.0000 0.0000 0.0000
12.0000 16.0000 4.0000 0.0000
13.0000 16.0000 0.0000 0.0000
14.0000 16.0000 0.3000 0.0000
15.0000 16.0000 0.0000 0.0000
16.0000 16.0000 -0.8000 0.0000
17.0000 16.0000 0.0000 2.0000
0.0000 17.0000 0.0000 0.0000
1.0000 17.0000 0.0000 0.0000
2.0000 17.0000 0.0000 0.0000
3.0000 17.0000 0.0000 0.0000
4.0000 17.0000 0.0000 0.0000
5.0000 17.0000 0.0000 0.0000
6.0000 17.0000 0.0000 0.0000
7.0000 17.0000 0.0000 0.0000
8.0000 17.0000 0.0000 0.0000
9.0000 17.0000 0.0000 0.0000
10.0000 17.0000 0.0000 0.0000
11.0000 17.0000 0.0000 0.0000
12.0000 17.0000 0.0000 0.0000
13.0000 17.0000 0.0000 0.0000
14.0000 17.0000 0.0000 0.0000
15.0000 17.0000 0.2449 0.0000
16.0000 17.0000 0.0000 0.0000
17.0000 17.0000 -0.1000 0.0000
